accuracy,loss,val_accuracy,val_loss
0.6787499785423279,1.0096949338912964,0.699999988079071,0.718071460723877
0.7887499928474426,0.5762706995010376,0.8600000143051147,0.3809584379196167
0.9162499904632568,0.2841425836086273,0.9649999737739563,0.1683308631181717
0.9787499904632568,0.1318676918745041,1.0,0.06379550695419312
0.9937499761581421,0.06699217110872269,1.0,0.027511177584528923
0.9975000023841858,0.03534692898392677,1.0,0.011289707385003567
0.9987499713897705,0.020541083067655563,1.0,0.005971094593405724
0.9987499713897705,0.013630625791847706,1.0,0.0036455895751714706
1.0,0.007768737152218819,1.0,0.002598945749923587
1.0,0.006936115212738514,1.0,0.0018380959518253803
1.0,0.005578225944191217,1.0,0.0015359200770035386
1.0,0.005018832627683878,1.0,0.0008299294859170914
1.0,0.003796546719968319,1.0,0.0010101408697664738
1.0,0.004097329918295145,1.0,0.0005183236207813025
1.0,0.0034267075825482607,1.0,0.0007034103036858141
1.0,0.0032512361649423838,1.0,0.0003572999266907573
1.0,0.0028610744047909975,1.0,0.00028107286198064685
1.0,0.002317872829735279,1.0,0.0003112549311481416
1.0,0.0022300919517874718,1.0,0.0002271755802212283
1.0,0.0016757494304329157,1.0,0.00018006395839620382
1.0,0.0015349042369052768,1.0,0.0001402416528435424
1.0,0.000999349169433117,1.0,0.00010936188482446596
1.0,0.0007895207963883877,1.0,9.143386705545709e-05
1.0,0.0013887191889807582,1.0,0.0001388004602631554
1.0,0.0013808992225676775,1.0,6.99669835739769e-05
1.0,0.0005476267542690039,1.0,5.930458792136051e-05
1.0,0.0007363563636317849,1.0,5.6537635828135535e-05
1.0,0.0004078445490449667,1.0,5.331155989551917e-05
1.0,0.0008168856147676706,1.0,4.766407801071182e-05
0.9987499713897705,0.0020475939381867647,1.0,0.00022435636492446065
1.0,0.0014219757867977023,1.0,5.609802610706538e-05
1.0,0.000727425271179527,1.0,4.228061152389273e-05
1.0,0.0005212506512179971,1.0,4.383389023132622e-05
1.0,0.0004920221399515867,1.0,3.7117300962563604e-05
1.0,0.0005925451987423003,1.0,3.035176996490918e-05
1.0,0.0009436263353563845,1.0,2.9801340133417398e-05
1.0,0.0003150114498566836,1.0,2.737553950282745e-05
1.0,0.00035762652987614274,1.0,2.2298949261312373e-05
1.0,0.00038686429616063833,1.0,1.8323353287996724e-05
1.0,0.0008717771852388978,1.0,2.367948036408052e-05
1.0,0.00035699168802239,1.0,2.3444999897037633e-05
1.0,0.000700366566888988,1.0,1.920791510201525e-05
1.0,0.00022895379515830427,1.0,1.7215632396982983e-05
1.0,0.00037520070327445865,1.0,1.3877182936994359e-05
1.0,0.00017120217671617866,1.0,1.2903325114166364e-05
1.0,0.00022541850921697915,1.0,1.0482608558959328e-05
1.0,0.00027294454048387706,1.0,9.718252840684727e-06
1.0,0.0002342629450140521,1.0,9.328446139988955e-06
1.0,0.0001810068206395954,1.0,7.273219125636388e-06
1.0,0.00022876639559399337,1.0,6.6063180383935105e-06
