accuracy,loss,val_accuracy,val_loss
0.6274999976158142,0.9688159227371216,0.800000011920929,0.6180524230003357
0.8075000047683716,0.5729684233665466,0.8799999952316284,0.3542158007621765
0.8687499761581421,0.4003846347332001,0.9100000262260437,0.2411806881427765
0.9087499976158142,0.2873985767364502,0.9449999928474426,0.15708275139331818
0.9437500238418579,0.19932536780834198,0.9750000238418579,0.08602160215377808
0.9574999809265137,0.14737281203269958,0.9900000095367432,0.05239718034863472
0.9624999761581421,0.11203310638666153,0.9850000143051147,0.040678564459085464
0.9837499856948853,0.07740724086761475,0.9950000047683716,0.024773230776190758
0.9862499833106995,0.060524553060531616,0.9900000095367432,0.01946145109832287
0.9900000095367432,0.05359300225973129,1.0,0.008244042284786701
0.9850000143051147,0.06113158166408539,1.0,0.006780161987990141
0.987500011920929,0.04764170199632645,1.0,0.006268366705626249
0.987500011920929,0.04356667399406433,1.0,0.005526391789317131
0.9912499785423279,0.030140535905957222,1.0,0.0035076180938631296
0.9912499785423279,0.025120975449681282,1.0,0.002717244438827038
0.9975000023841858,0.01839478872716427,1.0,0.002019902691245079
0.9937499761581421,0.018186884000897408,1.0,0.0022226618602871895
0.9962499737739563,0.01765194907784462,1.0,0.0020747145172208548
0.9962499737739563,0.014794783666729927,1.0,0.0005156199331395328
0.9950000047683716,0.019446147605776787,1.0,0.0008038232335820794
0.9950000047683716,0.021412843838334084,1.0,0.00039071013452485204
0.9975000023841858,0.009743456728756428,1.0,0.0011037338990718126
0.9987499713897705,0.007124332245439291,1.0,0.0005047355080023408
0.9962499737739563,0.01624489575624466,1.0,0.001659095287322998
0.9925000071525574,0.026202276349067688,1.0,0.00021522268070839345
0.9975000023841858,0.010760950855910778,1.0,0.00018675174214877188
0.9962499737739563,0.007156339939683676,1.0,0.00024863635189831257
0.9987499713897705,0.007226539775729179,1.0,0.00022963108494877815
1.0,0.002236209576949477,1.0,0.00016746943583711982
1.0,0.004529787227511406,1.0,0.00017950762412510812
0.9987499713897705,0.0035852675791829824,1.0,0.0002498200919944793
1.0,0.0030913290102034807,1.0,0.00023694914125371724
0.9987499713897705,0.005974449682980776,1.0,0.00030199522734619677
1.0,0.0044855172745883465,1.0,0.00016748503549024463
1.0,0.0030511710792779922,1.0,8.721261110622436e-05
1.0,0.0030159971211105585,1.0,0.00010487942927284166
1.0,0.002453000284731388,1.0,5.522484934772365e-05
1.0,0.0019960878416895866,1.0,5.777042679255828e-05
1.0,0.0026605469174683094,1.0,8.326120587298647e-05
1.0,0.0024746665731072426,1.0,6.901694723637775e-05
1.0,0.0025105089880526066,1.0,5.1498307584552094e-05
1.0,0.001574261230416596,1.0,4.486538455239497e-05
0.9987499713897705,0.0030261583160609007,1.0,5.417744614533149e-05
1.0,0.001623300020582974,1.0,3.920781455235556e-05
0.9950000047683716,0.01166497077792883,0.9900000095367432,0.009277209639549255
0.9962499737739563,0.017495645210146904,1.0,3.9020920667098835e-05
1.0,0.00339284329675138,1.0,1.3959179341327399e-05
1.0,0.0024449669290333986,1.0,2.4670185666764155e-05
1.0,0.003068747464567423,1.0,0.000987753039225936
0.9987499713897705,0.004839026834815741,1.0,0.00014769751578569412
