accuracy,loss,val_accuracy,val_loss
0.8974999785423279,0.2695865333080292,0.8199999928474426,0.9059244394302368
0.9975000023841858,0.016282347962260246,0.4950000047683716,1.0088847875595093
1.0,0.003600083291530609,0.10000000149011612,1.1937956809997559
0.9987499713897705,0.002453502966091037,0.10000000149011612,1.3602551221847534
1.0,0.0016090626595541835,0.10000000149011612,1.6297199726104736
1.0,0.0009426818578504026,0.10000000149011612,1.842038869857788
1.0,0.0006792228086851537,0.10000000149011612,1.9404367208480835
1.0,0.0006130830151960254,0.10000000149011612,1.9327677488327026
1.0,0.0003685012925416231,0.10000000149011612,1.8391717672348022
1.0,0.00035462595405988395,0.10499999672174454,1.6590299606323242
1.0,0.0007721196743659675,0.14000000059604645,1.533388614654541
1.0,0.0003559549222700298,0.26499998569488525,1.1979491710662842
1.0,0.000727454898878932,0.5199999809265137,0.7921550273895264
1.0,0.0005068600876256824,0.7850000262260437,0.4425627589225769
1.0,0.0003573678550310433,0.925000011920929,0.22594088315963745
1.0,0.00015487807104364038,1.0,0.0866137221455574
1.0,0.00017977740208152682,1.0,0.025901420041918755
1.0,0.00034344225423410535,1.0,0.005699837114661932
1.0,0.00013000985200051218,1.0,0.0014567209873348475
1.0,0.00015081245510373265,1.0,0.0004884580848738551
1.0,0.00013952799781691283,1.0,0.00017067692533601075
1.0,0.00026113781495951116,1.0,5.492459604283795e-05
1.0,8.264956704806536e-05,1.0,2.078303623420652e-05
1.0,0.00010477212344994769,1.0,9.081857569981366e-06
1.0,0.00019901865744031966,1.0,4.490586434258148e-06
1.0,5.5647269618930295e-05,1.0,2.8794884201488458e-06
1.0,0.00016027182573452592,1.0,1.7559475509187905e-06
1.0,5.0788559747161344e-05,1.0,1.0782458730318467e-06
1.0,0.00015744651318527758,1.0,6.359807684930274e-07
1.0,2.701013181649614e-05,1.0,4.1067562506214017e-07
1.0,4.6233992179622874e-05,1.0,2.8908232252433663e-07
1.0,7.77416571509093e-05,1.0,2.0503985354025644e-07
1.0,9.627989493310452e-05,1.0,1.5318387625029573e-07
1.0,3.339293471071869e-05,1.0,1.0788436810571511e-07
1.0,0.00012480877921916544,1.0,8.344646573732462e-08
1.0,2.9438571800710633e-05,1.0,6.079669390146591e-08
1.0,2.3956170480232686e-05,1.0,4.94718186416776e-08
1.0,0.00021919044957030565,1.0,4.470345515983354e-08
1.0,1.654378866078332e-05,1.0,3.635880929664381e-08
1.0,5.5727065046085045e-05,1.0,3.0994396382766354e-08
1.0,1.673660153755918e-05,1.0,2.682207700388517e-08
1.0,1.196357152366545e-05,1.0,2.6226029348208613e-08
1.0,2.7647052775137126e-05,1.0,2.6226029348208613e-08
1.0,3.568327156244777e-05,1.0,2.0861616434331154e-08
1.0,2.087619577650912e-05,1.0,1.7881387037732566e-08
1.0,1.819988028728403e-05,1.0,1.728533938205601e-08
1.0,2.5937897589756176e-05,1.0,1.6093247623416573e-08
1.0,1.6802086975076236e-05,1.0,1.4901155864777138e-08
1.0,2.666053842403926e-05,1.0,1.3709062329780863e-08
1.0,1.95121447177371e-05,1.0,1.2516970571141428e-08
